Hersteller,HNr.,Beschreibung,URL,Angebot-URL,Preis
Makita,DJV181Y1J,Akku-Pendelhubstichsäge 18 V,http://makitade.intermix14.nl/loadin-tool/54131/DJV181Y1J.html,https://www.amazon.de/dp/B00M215JBK,"214,99 €"
Makita,DHS680Y1J,Akku-Handkreissäge 57 mm 18 V,http://makitade.intermix14.nl/loadin-tool/54132/DHS680Y1J.html,https://www.amazon.de/dp/B00WW83F4Q,"196,90 €"
Makita,DPB181Z,Akku-Bandsäge 18 V (ohne Akku+Ladegerät),http://makitade.intermix14.nl/loadin-tool/23928/DPB181Z.html,https://www.amazon.de/dp/B00NVLZM7G,"195,89 €"
Makita,DGA508Y1J,"Akku-Winkelschleifer 18,0V",http://makitade.intermix14.nl/loadin-tool/22887/DGA508Y1J.html,https://www.amazon.de/dp/B00QKHE9J0,"153,90 €"
Makita,DBO180Y1J,Akku-Exzenterschleifer 18 V,http://makitade.intermix14.nl/loadin-tool/28302/DBO180Y1J.html,https://www.amazon.de/dp/B00H7ET42M,"119,95 €"
Makita,DGD800Y1J,Akku-Geradschleifer 18 V,http://makitade.intermix14.nl/loadin-tool/28302/DGD800Y1J.html,https://www.amazon.de/dp/B00KPPXB1U,"122,00 €"
Makita,LS1018L,Kapp- und Gehrungssäge 260 mm,http://makitade.intermix14.nl/loadin-tool/22982/LS1018L.html,https://www.amazon.de/dp/B0047QD3CA,"371,90 €"
Makita,DEAWST06,Untergestell mit Auflagen,http://makitade.intermix14.nl/loadin-tool/0/DEAWST06.html,https://www.amazon.de/dp/B00WSUX7SC,"155,89 €"
Wiha,302 HK12,Schraubendreher Set SoftFinish®,https://www.wiha.com/de/produkte/schraubendreher/schraubendreher-set-softfinish-gemischt-12-tlg-41002.html,https://www.wiha.com/de/produkte/schraubendreher/schraubendreher-set-softfinish-gemischt-12-tlg-41002.html,"104,48 €"
Wiha,267P K6,Feinschraubendreher Set PicoFinish TORX 6-tlg,https://www.wiha.com/de/produkte/schraubendreher/feinschraubendreher-set-picofinish-torx-6-tlg-03765.html,https://www.wiha.com/de/produkte/schraubendreher/feinschraubendreher-set-picofinish-torx-6-tlg-03765.html,"58,10 €"
Wiha,260P K6,"Feinschraubendreher Set PicoFinish Schlitz, Phillips 6-tlg.",https://www.wiha.com/de/produkte/schraubendreher/feinschraubendreher-set-picofinish-schlitz-phillips-6-tlg-00503.html,https://www.wiha.com/de/produkte/schraubendreher/feinschraubendreher-set-picofinish-schlitz-phillips-6-tlg-00503.html,"40,01 €"
Wiha,3201 K12,Schraubendreher Set SoftFinish® electric slimFix,https://www.wiha.com/de/produkte/schraubendreher/schraubendreher-set-softfinish-electric-slimfix-gemischt-12-tlg-41003.html,https://www.wiha.com/de/produkte/schraubendreher/schraubendreher-set-softfinish-electric-slimfix-gemischt-12-tlg-41003.html,"143,74 €"
